#P1	80		p03_max	3825.710599							
#											
#Delta	Beta	m2	p2/p1	p02/p01	M3	p3/p2	p03/p02	p2/p03		p03	Is_MAX
14.9	26.9606177	2.93619808	3.67029605	0.8066664	0.479074	9.89146909	0.34682823	0.08640127		3398.372316	FALSE
15.1	27.1653628	2.92181592	3.72434741	0.80096232	0.47998087	9.79317636	0.35112436	0.08721769		3416.139464	FALSE
15.3	27.3710145	2.90742832	3.7789179	0.79521155	0.48090015	9.69532937	0.3554703	0.08804585		3433.59093	FALSE
15.5	27.5775711	2.89303564	3.83400803	0.78941652	0.48183202	9.59793108	0.3598662	0.08888597		3450.72054	FALSE
15.7	27.7850315	2.87863823	3.88961824	0.78357968	0.48277671	9.50098445	0.36431224	0.08973823		3467.523922	FALSE
15.9	27.9933946	2.86423647	3.94574896	0.77770345	0.48373442	9.40449237	0.36880854	0.09060286		3483.995062	FALSE
16.1	28.2026594	2.84983072	4.00240058	0.77179026	0.48470537	9.30845771	0.37335522	0.09148007		3500.129005	FALSE
16.3	28.4128253	2.83542135	4.05957344	0.76584252	0.48568977	9.21288329	0.37795238	0.09237008		3515.920688	FALSE
16.5	28.6238915	2.82100871	4.11726789	0.75986262	0.48668785	9.11777187	0.38260009	0.0932731		3531.365755	FALSE
16.7	28.8358579	2.80659317	4.17548421	0.75385296	0.48769985	9.02312614	0.38729842	0.09418938		3546.458601	FALSE
16.9	29.0487242	2.7921751	4.23422268	0.74781589	0.48872598	8.92894875	0.39204739	0.09511914		3561.195091	FALSE
17.1	29.2624905	2.77775483	4.29348354	0.74175376	0.48976649	8.83524225	0.39684701	0.09606261		3575.571007	FALSE
17.3	29.477157	2.76333273	4.35326703	0.73566886	0.49082162	8.74200912	0.40169729	0.09702005		3589.581354	FALSE
17.5	29.6927243	2.74890915	4.41357333	0.7295635	0.49189162	8.64925177	0.40659819	0.09799169		3603.222543	FALSE
17.7	29.9091931	2.73448441	4.47440263	0.72343994	0.49297675	8.55697251	0.41154965	0.0989778		3616.489863	FALSE
17.9	30.1265642	2.72005886	4.53575509	0.7173004	0.49407726	8.46517357	0.4165516	0.09997863		3629.37967	FALSE
18.1	30.3448389	2.70563281	4.59763087	0.71114708	0.49519342	8.37385707	0.42160393	0.10099444		3641.888302	FALSE
18.3	30.5640187	2.69120658	4.66003008	0.70498214	0.4963255	8.28302505	0.42670651	0.10202551		3654.011692	FALSE
18.5	30.7841052	2.67678049	4.72295286	0.69880772	0.49747378	8.19267943	0.43185919	0.10307212		3665.746167	FALSE
18.7	31.0051003	2.66235482	4.78639931	0.69262589	0.49863853	8.10282206	0.43706178	0.10413455		3677.08839	FALSE
